STATION,NAME,MONTH,DAY,YEAR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",3,12,1950,0,0,0,NaN,69,46
USW00023183,"PHOENIX AIRPORT, AZ US",3,13,1950,0,0,0,NaN,74,35
USW00023183,"PHOENIX AIRPORT, AZ US",3,14,1950,0,0,0,NaN,74,40
USW00023183,"PHOENIX AIRPORT, AZ US",3,15,1950,0,0,0,NaN,73,40
USW00023183,"PHOENIX AIRPORT, AZ US",3,16,1950,0,0,0,NaN,82,42
USW00023183,"PHOENIX AIRPORT, AZ US",3,17,1950,0,0,0,NaN,84,44
USW00023183,"PHOENIX AIRPORT, AZ US",3,18,1950,0,0,0,NaN,84,49
USW00023183,"PHOENIX AIRPORT, AZ US",3,19,1950,0,0,0,NaN,83,45
USW00023183,"PHOENIX AIRPORT, AZ US",3,20,1950,0,0,0,NaN,86,50
USW00023183,"PHOENIX AIRPORT, AZ US",3,21,1950,0,0,0,NaN,86,45
USW00023183,"PHOENIX AIRPORT, AZ US",3,22,1950,0,0,0,NaN,89,49
USW00023183,"PHOENIX AIRPORT, AZ US",3,23,1950,0,0,0,NaN,86,53
USW00023183,"PHOENIX AIRPORT, AZ US",3,24,1950,0,0,0,NaN,87,49
USW00023183,"PHOENIX AIRPORT, AZ US",3,25,1950,0.11,0,0,NaN,65,43
USW00023183,"PHOENIX AIRPORT, AZ US",3,26,1950,0,0,0,NaN,64,42
USW00023183,"PHOENIX AIRPORT, AZ US",3,27,1950,0,0,0,NaN,72,42
USW00023183,"PHOENIX AIRPORT, AZ US",3,28,1950,0,0,0,NaN,81,45
USW00023183,"PHOENIX AIRPORT, AZ US",3,29,1950,0,0,0,NaN,91,46
USW00023183,"PHOENIX AIRPORT, AZ US",3,30,1950,0,0,0,NaN,88,53
USW00023183,"PHOENIX AIRPORT, AZ US",3,31,1950,0,0,0,NaN,92,51
USW00023183,"PHOENIX AIRPORT, AZ US",4,1,1950,0,0,0,NaN,92,61
USW00023183,"PHOENIX AIRPORT, AZ US",4,2,1950,0,0,0,NaN,96,52
USW00023183,"PHOENIX AIRPORT, AZ US",4,3,1950,0,0,0,NaN,96,54
USW00023183,"PHOENIX AIRPORT, AZ US",4,4,1950,0,0,0,NaN,93,56
USW00023183,"PHOENIX AIRPORT, AZ US",4,5,1950,0,0,0,NaN,92,63
USW00023183,"PHOENIX AIRPORT, AZ US",4,6,1950,0,0,0,NaN,90,60
USW00023183,"PHOENIX AIRPORT, AZ US",4,7,1950,0,0,0,NaN,90,59
USW00023183,"PHOENIX AIRPORT, AZ US",4,8,1950,0,0,0,NaN,84,68
USW00023183,"PHOENIX AIRPORT, AZ US",4,9,1950,0,0,0,NaN,73,51
USW00023183,"PHOENIX AIRPORT, AZ US",4,10,1950,0,0,0,NaN,79,41
USW00023183,"PHOENIX AIRPORT, AZ US",4,11,1950,0,0,0,NaN,85,45
USW00023183,"PHOENIX AIRPORT, AZ US",4,12,1950,0,0,0,NaN,87,54
USW00023183,"PHOENIX AIRPORT, AZ US",4,13,1950,0,0,0,NaN,88,51
USW00023183,"PHOENIX AIRPORT, AZ US",4,14,1950,0,0,0,NaN,83,51
USW00023183,"PHOENIX AIRPORT, AZ US",4,15,1950,0,0,0,NaN,80,43
USW00023183,"PHOENIX AIRPORT, AZ US",4,16,1950,0,0,0,NaN,88,47
USW00023183,"PHOENIX AIRPORT, AZ US",4,17,1950,0,0,0,NaN,97,51
USW00023183,"PHOENIX AIRPORT, AZ US",4,18,1950,0,0,0,NaN,98,55
USW00023183,"PHOENIX AIRPORT, AZ US",4,19,1950,0,0,0,NaN,100,59
