STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN,,
USC00142835,"FORT SCOTT, KS US",3/26/2007,0,0,75,49,,
USC00142835,"FORT SCOTT, KS US",3/27/2007,0.1,0,71,60,,
USC00142835,"FORT SCOTT, KS US",3/28/2007,0.24,0,73,55,,
USC00142835,"FORT SCOTT, KS US",3/29/2007,0,0,76,54,,
USC00142835,"FORT SCOTT, KS US",3/30/2007,0.62,0,77,58,,
USC00142835,"FORT SCOTT, KS US",3/31/2007,0.35,0,76,58,,
USC00142835,"FORT SCOTT, KS US",4/1/2007,0.01,0,63,54,,
USC00142835,"FORT SCOTT, KS US",4/2/2007,0,0,73,51,,
USC00142835,"FORT SCOTT, KS US",4/3/2007,0,0,83,51,,
USC00142835,"FORT SCOTT, KS US",4/4/2007,0,0,73,31,,
USC00142835,"FORT SCOTT, KS US",4/5/2007,0,0,49,29,,
USC00142835,"FORT SCOTT, KS US",4/6/2007,0,0,45,29,,
USC00142835,"FORT SCOTT, KS US",4/7/2007,0,0,39,20,,
USC00142835,"FORT SCOTT, KS US",4/8/2007,0,0,41,20,,
USC00142835,"FORT SCOTT, KS US",4/9/2007,0,0,48,20,,
USC00142835,"FORT SCOTT, KS US",4/10/2007,0,0,55,34,,
USC00142835,"FORT SCOTT, KS US",4/11/2007,0.53,0,49,43,,
USC00142835,"FORT SCOTT, KS US",4/12/2007,0,0,51,35,,
USC00142835,"FORT SCOTT, KS US",4/13/2007,0.2,0,53,35,,
USC00142835,"FORT SCOTT, KS US",4/14/2007,2.19,0,42,32,,
USC00142835,"FORT SCOTT, KS US",4/15/2007,0.06,0,50,31,,
USC00142835,"FORT SCOTT, KS US",4/16/2007,0,0,65,32,,
USC00142835,"FORT SCOTT, KS US",4/17/2007,0,0,72,44,,
USC00142835,"FORT SCOTT, KS US",4/18/2007,0.06,0,69,47,,
USC00142835,"FORT SCOTT, KS US",4/19/2007,0,0,73,47,,
USC00142835,"FORT SCOTT, KS US",4/20/2007,0,0,75,45,,
USC00142835,"FORT SCOTT, KS US",4/21/2007,0,0,79,54,,
USC00142835,"FORT SCOTT, KS US",4/22/2007,0,0,83,54,,
USC00142835,"FORT SCOTT, KS US",4/23/2007,0,0,83,54,,
USC00142835,"FORT SCOTT, KS US",4/24/2007,0,0,79,54,,
USC00142835,"FORT SCOTT, KS US",4/25/2007,0.63,0,78,59,,
USC00142835,"FORT SCOTT, KS US",4/26/2007,0.89,0,73,48,,
USC00142835,"FORT SCOTT, KS US",4/27/2007,0.01,0,56,43,,
USC00142835,"FORT SCOTT, KS US",4/28/2007,0.06,0,68,44,,
USC00142835,"FORT SCOTT, KS US",4/29/2007,0.01,0,79,48,,
USC00142835,"FORT SCOTT, KS US",4/30/2007,0,0,84,57,,
USC00142835,"FORT SCOTT, KS US",5/1/2007,0.26,0,84,63,,
USC00142835,"FORT SCOTT, KS US",5/2/2007,0.5,0,74,60,,
USC00142835,"FORT SCOTT, KS US",5/3/2007,0.75,0,71,60,,
USC00142835,"FORT SCOTT, KS US",5/4/2007,0.11,0,71,61,,
USC00142835,"FORT SCOTT, KS US",5/5/2007,0,0,82,61,,
USC00142835,"FORT SCOTT, KS US",5/6/2007,0,0,85,65,,
USC00142835,"FORT SCOTT, KS US",5/7/2007,1.46,0,76,62,,
USC00142835,"FORT SCOTT, KS US",5/8/2007,1.15,0,72,62,,
USC00142835,"FORT SCOTT, KS US",5/9/2007,0,0,75,59,,
USC00142835,"FORT SCOTT, KS US",5/10/2007,0.72,0,80,60,,
USC00142835,"FORT SCOTT, KS US",5/11/2007,0.55,0,83,61,,
USC00142835,"FORT SCOTT, KS US",5/12/2007,0,0,84,61,,
USC00142835,"FORT SCOTT, KS US",5/13/2007,0.01,0,88,62,,
USC00142835,"FORT SCOTT, KS US",5/14/2007,0,0,88,62,,
USC00142835,"FORT SCOTT, KS US",5/15/2007,0,0,87,69,,
USC00142835,"FORT SCOTT, KS US",5/16/2007,0.37,0,70,48,,
USC00142835,"FORT SCOTT, KS US",5/17/2007,0,0,73,49,,
USC00142835,"FORT SCOTT, KS US",5/18/2007,0,0,71,47,,
USC00142835,"FORT SCOTT, KS US",5/19/2007,0,0,73,49,,
USC00142835,"FORT SCOTT, KS US",5/20/2007,0,0,77,55,,
USC00142835,"FORT SCOTT, KS US",5/21/2007,0,0,79,58,,
USC00142835,"FORT SCOTT, KS US",5/22/2007,0,0,82,59,,
